Code,Name,Description,Alternate Code,Label List,Enable Inventory,Unit Of Measure,Barcode,Manufacturer Code,Brand,Is Manual Order Approval Needed,Height,Width,Length,Weight,Is Archived,Internal Notes,External Notes,Tax Code,Cost Price,Sell Price Ex Tax,Sell Price Inc Tax,Minimum Stock Quantity,Override Sales GL Account Code,Override Purchase GL Account Code,Is Auto Archive When No Stock Enabled,Is Excluded From Order Consolidation,BoM Weight Calculated From Components,Photo Identifier
"PR1","Delonghi Magnifica Evo Fully Automatic Coffee Machine Silver Black","Upgrade your coffee experience with the De'Longhi Magnifica Evo Fully Automatic Coffee Machine (Silver Black). This machine simplifies brewing delicious espressos, cappuccinos, lattes, and more at the touch of a button.

Features:

Fully automatic: Grinds beans, brews, and dispenses coffee automatically.
Integrated milk frother: Creates creamy cappuccinos and lattes.
Adjustable coffee strength and milk frothing: Customize your perfect cup.
User-friendly control panel: Easy to navigate with intuitive buttons and display.
Programmable settings: Save your preferred coffee strength and volume.
Integrated grinder: Freshly grinds coffee beans for optimal flavor.
Removable water tank and drip tray: Easy to clean and maintain.
Specifications:

Brand: De'Longhi
Model: Magnifica Evo
Color: Silver Black
Coffee Type: Espresso, Coffee
Milk Frother: Yes
Grinder: Integrated","SL351",,Y,Each,,,"Delonghi",N,0.0000,0.0000,0.0000,0.0000,N,,,GST,0.00,"1,016.52","1,169.00",0.0000,,,,,,Delonghi Magnifica Evo_1.jpg
"PR3","PS5 Disc Edition","Used PS5 Disc Edition
HDMI & Power Cables
1 Controller
Condition:  Good 

Enjoy next-gen gaming at a more affordable price. Fully tested and functional. May have  cosmetic wear.

Free shipping across New Zealand!

""This package includes all essential power and relevant cables for hassle-free setup and usage.""","SL352",,Y,Each,,,"Sony",N,0.0000,0.0000,0.0000,0.0000,N,,,GST,0.00,555.65,639.00,0.0000,,,N,N,,ps5.png
"PR5","Xbox Series S 512GB","Experience next-gen speed and performance with the compact and powerful Xbox Series S 512GB console. Enjoy immersive graphics, and access to a massive library of digital games.

Condition: Good

Includes:

Xbox Series S Console
1 Xbox Wireless Controller
HDMI Cable
Power Cord

Features:

100% Digital: Play a library of digital games with Xbox Game Pass (subscription not included)
Fast SSD Storage: Reduces game load times
1440p Gaming: Enjoy smooth visuals
Backwards Compatible: Play select games from previous Xbox generations

This package includes a controller and all essential power and relevant cables for hassle-free setup and usage.","SL355",,Y,Each,,,"Microsoft",N,0.0000,0.0000,0.0000,0.0000,N,,,GST,0.00,303.48,349.00,0.0000,,,N,N,,WhatsApp Image 2024-01-22 at 1.15.44 PM.jpeg;WhatsApp Image 2024-01-22 at 1.15.44 PM (1).jpeg
"PR5 (1)","Xbox Series S 512GB Without Controller","Xbox Series S 512GB Without Controller

Used Xbox Series S – works great

Includes console, power cable, and HDMI cable.

Ellerslie, Auckland pickup.

This package doesn't include controller but comes with all essential power and relevant cables for hassle-free setup and usage.","SL355",,Y,Each,,,"Microsoft",N,0.0000,0.0000,0.0000,0.0000,N,,,GST,0.00,260.00,299.00,0.0000,,,N,N,,Untitled design (6).jpg
"PR6","Vielda Ring and Spin mop and bucket set","Mop and Bucket set with foot pedal operated wringer for more convenient floor cleaning  Easier to carry with the longitudinal handle  Integrated front spout makes the bucket easier to empty","Sl370",,Y,Each,,,"Vielda",N,0.0000,0.0000,0.0000,0.0000,N,,,GST,0.00,56.52,65.00,0.0000,,,N,N,,WhatsApp Image 2024-02-22 at 10.04.51 AM.jpeg
"PR7","Go Pro Hero 7 Black","Looking for a reliable action camera? This used GoPro Hero 7 Black is in great condition and ready to capture your adventures. It features 4K60 video, HyperSmooth stabilization, voice control, and is waterproof for any terrain. NZ based seller.

CONDITION:

Great Condition: Fully functional with some signs of wear
Tested and Ready: Ensures a positive buyer experience

WHY BUY USED?

Save Money: Get awesome GoPro features at a pre-loved price
Reliable Tech: GoPros are known for their durability","SL346",,Y,Each,,,"GoPro",N,0.0000,0.0000,0.0000,0.0000,N,,,GST,0.00,320.87,369.00,0.0000,,,,,,WhatsApp Image 2024-02-22 at 10.07.35 AM.jpeg
"PR8","Logitech Driving Force Shifter for G29 & G920","Upgrade your racing sim setup for an immersive experience.

The Logitech Driving Force Shifter is a sim racing shifter that can be used with the G923, G29, and G920 racing wheels. It is designed for precision and reliability, and is built for long-lasting reliability and precision racing. 

The shifter has a six-speed short-throw gearbox, a solid steel gear shaft, and a leather knob and boot. It also features a six-speed “H” pattern gearbox and leather and steel components. 

The shifter is designed to enhance the racing experience by adding realistic shifting action to a racing rig. It is also compatible with the latest PC and console racing titles.","Sl365",,Y,Each,,,"Logitech",N,0.0000,0.0000,0.0000,0.0000,N,,,GST,0.00,94.78,109.00,0.0000,,,,,,WhatsApp Image 2024-02-22 at 10.09.57 AM.jpeg
"PR9","JBL FLIP6 Portable Speaker - Black","Brand: JBL
Model: FLIP6
Color: Black
Condition: New

Bring big sound to any adventure with the JBL FLIP6. This waterproof and dustproof speaker packs powerful JBL sound with deep bass, thanks to its racetrack-shaped woofer and dual passive radiators. Plus, with 12 hours of playtime, you can keep the party going wherever you take it.","SL364",,Y,Each,,,"JBL",N,0.0000,0.0000,0.0000,0.0000,N,,,GST,0.00,173.04,199.00,0.0000,,,N,N,,WhatsApp Image 2024-02-22 at 10.12.54 AM.jpeg;WhatsApp Image 2024-02-22 at 10.12.55 AM.jpeg;WhatsApp Image 2024-02-22 at 10.12.53 AM.jpeg;WhatsApp Image 2024-02-22 at 10.12.54 AM (1).jpeg
"PR10","JBL Wave Beam True Wireless Earbuds - Black","Deep bass, long battery life, all wireless.

These JBL Wave Beam earbuds deliver rich JBL sound with deep bass for an immersive listening experience. Plus, with up to 32 hours of total battery life (8 hours in the buds, 24 hours in the case), you can enjoy your music all day long. Never get caught without a charge thanks to the handy speed-charge feature that provides 2 extra hours of playback with just a 10-minute charge.","SL369",,Y,Each,,,"JBL",N,0.0000,0.0000,0.0000,0.0000,N,,,GST,0.00,65.22,75.00,0.0000,,,N,N,,WhatsApp Image 2024-02-22 at 10.22.50 AM (1).jpeg;WhatsApp Image 2024-02-22 at 10.22.50 AM.jpeg
"PR11","Samsung Galaxy Buds FE - Graphite","Experience premium Samsung sound quality at a great price. These buds feature Active Noise Cancellation, a comfortable fit, and clear call quality.","SL363",,Y,Each,,,"Samsung",N,0.0000,0.0000,0.0000,0.0000,N,,,GST,0.00,152.17,175.00,0.0000,,,,,,WhatsApp Image 2024-02-22 at 10.24.48 AM.jpeg;WhatsApp Image 2024-02-22 at 10.24.50 AM.jpeg;WhatsApp Image 2024-02-22 at 10.24.49 AM (1).jpeg;WhatsApp Image 2024-02-22 at 10.24.49 AM.jpeg
"PR13","Sony LinkBuds S True Wireless Noise Cancelling Headphones - Black","Unleash the freedom of open-ear comfort with superior noise cancellation.

These innovative Sony LinkBuds S earbuds redefine wireless listening.

Enjoy crystal-clear audio and immersive noise cancelling without feeling closed off.
Natural Ambient Sound lets you stay connected to your surroundings for safety and easy conversation.
The ultra-compact design ensures a comfortable, secure fit all day long.
Perfect for:

Active lifestyles
Business professionals
Anyone who wants superior sound without sacrificing awareness
Get the best of both worlds with the Sony LinkBuds S.","SL357",,Y,Each,,,"Sony",N,0.0000,0.0000,0.0000,0.0000,N,,,GST,0.00,260.00,299.00,0.0000,,,,,,WhatsApp Image 2024-02-22 at 10.28.50 AM (1).jpeg;WhatsApp Image 2024-02-22 at 10.28.50 AM.jpeg;WhatsApp Image 2024-02-22 at 10.28.49 AM.jpeg
"PR14","Samsung Galaxy Buds2 Pro White","Experience pristine audio with intelligent ANC (Active Noise Cancellation) in a sleek, white design. These next-generation earbuds deliver an immersive listening experience with 360 audio and crystal-clear calls.","SL356",,Y,Each,,,"Samsung",N,0.0000,0.0000,0.0000,0.0000,N,,,GST,0.00,303.48,349.00,0.0000,,,,,,WhatsApp Image 2024-02-22 at 10.32.50 AM.jpeg;WhatsApp Image 2024-02-22 at 10.32.48 AM.jpeg;WhatsApp Image 2024-02-22 at 10.32.49 AM (1).jpeg;WhatsApp Image 2024-02-22 at 10.32.49 AM.jpeg
"PR15","Nutribullet 900W Black Mega Pack","Unlock the power of whole foods!

The Nutribullet 900W Mega Pack has a powerful 900 watt motor to extract maximum nutritional goodness from your fruit and veg. It powerfully blends tough skins when creating your favourite smoothies, and the additional milling blade allows you blend dry contents such as nuts and seeds. Simply add your preferred liquid and ingredients to the cup and twist on the extractor blade, push down the attachments on the motor base and watch your ingredients transform into a perfectly blended super-liquid - yum!","SL361",,Y,Each,,,"Nutribullet",N,0.0000,0.0000,0.0000,0.0000,N,,,GST,0.00,173.04,199.00,0.0000,,,N,N,,WhatsApp Image 2024-02-22 at 10.42.52 AM.jpeg
"PR16","Delonghi Primadonna Soul Fully Automatic Coffee Machine","Experience barista-quality coffee at home with this top-of-the-line Delonghi machine. Bean Adapt Technology tailors the brewing process to your chosen beans, while the LatteCrema system crafts perfect milk foam for lattes, cappuccinos, and more. WiFi connectivity lets you customize and brew drinks right from your phone.","SL265",,Y,Each,,,"Delonghi",N,0.0000,0.0000,0.0000,0.0000,N,,,GST,0.00,"2,260.00","2,599.00",0.0000,,,,,,WhatsApp Image 2024-02-22 at 10.51.01 AM.jpeg;WhatsApp Image 2024-02-22 at 10.51.00 AM.jpeg;WhatsApp Image 2024-02-22 at 10.50.59 AM.jpeg;WhatsApp Image 2024-02-22 at 10.51.00 AM (1).jpeg
